rhop,Te_t[eV],s_Te_t[eV]
0.97800906593675,4.45631969433564,1.99010784965522
0.982321946770995,2.03983517487844,1.07872948125746
0.986852113641542,1.57873495817184,0.592776534331451
0.990863905208451,2.95261464790386,0.956195412754749
0.99499703144205,0.358060879620904,0.702221892769376
0.997969336169107,1.95369648385079,1.18107171335546
1.00464665213977,22.508329095927,7.24022563910042
1.00723206877708,20.218349331529,5.99961009461983
1.01174512567191,14.8040395539033,3.50960247504483
1.01762319754054,14.4998066110517,2.33059187200027
1.02160131629509,13.5756499073636,2.01839539336813
1.02585394330485,18.7673024767562,2.02834541135562
1.02913414526589,17.2010069846948,2.61009598319614
1.03483838613303,10.8028754531671,3.78089998209883
1.03866235452278,8.87089299038053,1.45919044661898
1.04240977430455,7.14769077825606,2.49946445907392
