rhop,qW[MW/m2],s_qW[MW/m2]
0.978355158388615,0.00109079407855914,0.00125156228486913
0.982575964076178,0.000805697159252306,0.000602751542726614
0.986852113641542,0.00142419985866604,0.000640724423803961
0.990863905208451,0.00641832416038689,0.00260637603194147
0.994664745330811,0.00160438743606471,0.0033046396546427
0.997933859484536,0.0467982471382242,0.0327698264930436
1.00464665213977,0.382272669768753,0.176878591938197
1.00723206877708,0.236037510452099,0.105920855950423
1.01174512567191,0.124240294385334,0.0403206176993608
1.01762319754054,0.0519839119078335,0.012527552885394
1.02160131629509,0.0446972742959175,0.0104246052226527
1.02585394330485,0.0367362654193304,0.00671380002135981
1.03085914504862,0.0221398805762504,0.00567666839891716
1.03483838613303,0.014981637976422,0.00589130309392747
1.03866235452278,0.0137479240496079,0.00317674320309244
1.04240977430455,0.011875035447186,0.00639873526442465
