rhop,qW[MW/m2],s_qW[MW/m2]
0.978223510434694,0.00458703883065247,0.00110443982664356
0.980348131873391,0.000531124706657822,0.00035075278310923
0.987817466832124,0.00396172559318091,0.00130478843191041
NaN,NaN,NaN
0.995875938534737,0.0142983674141182,0.00586878539752284
NaN,NaN,NaN
1.00531180849615,0.0632227498424709,0.0229218193209448
1.01073865652084,0.184405381382036,0.0517170338330631
1.01144212519971,0.0586284387180302,0.0197700632899908
1.01738703971349,0.062599694333567,0.0162671745744157
1.02219741861775,0.0454399701473575,0.0101836202788962
1.0266389341062,0.0240684125059998,0.00457657956236173
1.03244337939081,0.0212934985809285,0.00427233309251568
1.03678532670589,0.0232835987510381,0.00653287169132237
1.03988870893206,0.0272882530506896,0.00433840434550187
1.04223610758781,0.01668938692506,0.00356674686868816
