RRsep[mm],Ti[eV],err_Ti[eV]
-128.681208550589,0,0
-111.204057516851,293.200870513916,27.1410733106698
-93.7239048974696,233.305400848389,21.3836706371499
-75.9149531058108,191.900615692139,18.5181105917298
-58.333274560797,207.54475402832,13.475915660412
-41.930638106614,184.441513061523,6.81075749918223
-25.1041190550039,146.955759048462,16.2000575584933
-8.7500098339981,152.800186157227,16.9139447446926
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
8.15858884401477,42,17.5
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
