RRsep[mm],Ti[eV],err_Ti[eV]
39.9748743718592,29.4030865670284,6.09199534585744
34.3216080402012,49.6405374793658,8.9226508840394
28.6683417085424,100.640443162515,11.6542897286677
21.8844221105528,174.468956570398,18.8904506727609
39.9748743718592,26,10.0240755363518
33.1909547738692,55,8.61888046763201
28.6683417085424,103,10.8213145775092
21.8844221105528,172,37.6207391673663
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
