RRsep[mm],Ti[eV],err_Ti[eV]
-62.5982026654532,NaN,NaN
-54.5711207100865,307.982299804688,9.53642000116526
-39.4694992746434,270.348514556885,14.0486936747584
-27.2980208477116,243.206672668457,23.7359925094017
-14.7272082786829,226.116153717041,16.437478066777
-6.17690134805482,184.544185638428,18.9502088878604
7.52294844194523,147.221229553223,25.2157175153156
NaN,140.804462432861,36.5819142771287
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
