RRsep[mm],Ti[eV],err_Ti[eV]
-65.7009355549993,NaN,NaN
-57.4178107976544,287.421993255615,19.9479879855786
-41.7016734303801,284.832191467285,34.6300876909364
-29.0616627012836,260.483310699463,52.696971142507
-16.009321318224,220.066326141357,7.91318531388682
-7.12038875710963,182.761226654053,29.4329262908863
7.09898845825796,156.478973388672,37.637130381235
NaN,90.6092758178711,19.8950785431261
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
