RRsep[mm],Ti[eV],err_Ti[eV]
39.9748743718592,21.0358129074435,6.09199534585744
34.3216080402012,24.9481602136844,8.9226508840394
28.6683417085424,48.701664127036,11.6542897286677
21.8844221105528,78.186429763241,18.8904506727609
39.9748743718592,20,10.0240755363518
33.1909547738692,25,8.61888046763201
28.6683417085424,50,10.8213145775092
21.8844221105528,83,37.6207391673663
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
