rhop,ne_t[1/m3],s_ne_t[1/m3]
0.97800906593675,0.306884804674689,0.214021867671243
0.982321946770995,0.111716072545853,0.0701877786015021
0.986852113641542,0.443892770514437,0.551926271207901
0.990863905208451,0.122351353745928,0.0628693614184808
0.99499703144205,0.653872301924181,0.17308271294203
0.997969336169107,3.42426165277858,1.6085209336318
1.00464665213977,0.664468147957364,0.353639896873968
1.00723206877708,0.54702867812356,0.177514754152923
1.01174512567191,0.296608933076114,0.147171857552825
1.01762319754054,0.20652950277813,0.0442365506268299
1.02160131629509,0.16429190671307,0.0289226429297256
1.02585394330485,0.101831075727835,0.0268593583773143
1.02913414526589,0.0688110366033894,0.0165930088845708
1.03483838613303,0.0682706454161768,0.0223573180699525
1.03866235452278,0.083222638874072,0.0378537324145246
1.04240977430455,0.0792335085782528,0.0184046094117723
