rhop,ne_t[1/m3],s_ne_t[1/m3]
0.977347158193588,0.189487400116115,0.142398418418958
NaN,NaN,NaN
0.987740895204377,0.205534957668464,0.0673748683904224
NaN,NaN,NaN
0.995680269598961,0.972220068193943,0.794022033815226
NaN,NaN,NaN
1.00520409953176,6.073537276676,2.48238777414563
NaN,NaN,NaN
1.01120228950794,2.61455727382297,1.14695409997852
1.01728930606131,1.30749069876235,0.493076789061188
1.02213251571625,0.846328156958674,0.289740983420573
1.02654289167661,0.21235553133497,0.162815104180908
1.02818482816219,0.303062002024819,0.17737979320432
1.03254848749813,0.161985029902424,0.0570017437980986
1.03732718605744,0.173714131961213,0.0568466103219729
1.041697473526,0.155233972011878,0.0416158218893092
